Product ID;Obraz;Nazwa;Indeks;Kategoria;Cena (netto);Cena (brutto);Ilość;Wyświetlany;Pozycja
1000;https://localhost:8080/24/angora-100-01.jpg;Angora 100% 01;16632;ANGORA I MIESZANKI;16.17;21;10;0;
1001;https://localhost:8080/26/angora-100-010.jpg;Angora 100% 010;19232;ANGORA I MIESZANKI;16.17;21;10;0;
1002;https://localhost:8080/28/angora-100-03.jpg;Angora 100% 03;164171;ANGORA I MIESZANKI;16.17;21;10;0;
1003;https://localhost:8080/30/rafia---czerwona-08.jpg;Rafia   czerwona 08;31400;JUTA / SIZAL;23.023;29.9;9;0;
1004;https://localhost:8080/32/rafia---niebieska-07.jpg;Rafia   niebieska 07;31402;JUTA / SIZAL;23.023;29.9;10;0;
1005;https://localhost:8080/34/rafia---zielona-13.jpg;Rafia   zielona 13;31403;JUTA / SIZAL;23.023;29.9;10;0;
1006;https://localhost:8080/36/rafia--ciemny-popiel.jpg;Rafia  ciemny popiel;33126;JUTA / SIZAL;11.319;14.7;10;0;
1007;https://localhost:8080/38/rafia--krem.jpg;Rafia  krem;33124;JUTA / SIZAL;11.319;14.7;10;0;
1008;https://localhost:8080/40/rafia--kremowa-1602.jpg;Rafia  kremowa 1602;32726;JUTA / SIZAL;38.192;49.6;10;0;
1009;https://localhost:8080/42/rafia-bordowa-24.jpg;Rafia bordowa 24;31249;JUTA / SIZAL;23.023;29.9;10;0;
1010;https://localhost:8080/44/rafia-ecru-201.jpg;Rafia ecru 201;30959;JUTA / SIZAL;23.023;29.9;10;0;
1011;https://localhost:8080/46/rafia-kremowa.jpg;Rafia kremowa;33123;JUTA / SIZAL;11.319;14.7;10;0;
1012;https://localhost:8080/48/rafia-kremowa-57.jpg;Rafia kremowa 57;30960;JUTA / SIZAL;23.023;29.9;10;0;
1013;https://localhost:8080/50/rafia-niebieska-1610.jpg;Rafia niebieska 1610;32718;JUTA / SIZAL;38.192;49.6;10;0;
1014;https://localhost:8080/52/rafia-niebieska-1612.jpg;Rafia niebieska 1612;32716;JUTA / SIZAL;38.192;49.6;10;0;
1015;https://localhost:8080/54/cha-cha-04.jpg;Cha Cha 04;499;Włóczki super grube;14.63;19;10;0;
1016;https://localhost:8080/56/cha-cha-07.jpg;Cha Cha 07;2446;Włóczki super grube;14.63;19;10;0;
1017;https://localhost:8080/58/cha-cha-26.jpg;Cha Cha 26;2449;Włóczki super grube;14.63;19;10;0;
1018;https://localhost:8080/60/country.jpg;Country;3611;Włóczki super grube;10.78;14;10;0;
1019;https://localhost:8080/62/country-5291.jpg;Country 5291;16278;Włóczki super grube;10.78;14;10;0;
1020;https://localhost:8080/64/country-5293.jpg;Country 5293;16279;Włóczki super grube;10.78;14;10;0;
1021;https://localhost:8080/66/country-5469.jpg;Country 5469;19960;Włóczki super grube;10.78;14;10;0;
1022;https://localhost:8080/68/country-55.jpg;Country 55;3574;Włóczki super grube;10.78;14;10;0;
1023;https://localhost:8080/70/country-5563.jpg;Country 5563;19984;Włóczki super grube;10.78;14;10;0;
1024;https://localhost:8080/72/country-5656.jpg;Country 5656;19778;Włóczki super grube;10.78;14;10;0;
1025;https://localhost:8080/74/country-5674.jpg;Country 5674;19774;Włóczki super grube;10.78;14;10;0;
1026;https://localhost:8080/76/country-5710.jpg;Country 5710;19786;Włóczki super grube;10.78;14;10;0;
1027;https://localhost:8080/78/country-lux---5296.jpg;Country Lux   5296;18194;Włóczki super grube;10.78;14;10;0;
1028;https://localhost:8080/80/country-lux---5510.jpg;Country Lux   5510;18196;Włóczki super grube;10.78;14;10;0;
1029;https://localhost:8080/82/country-lux-5035.jpg;Country Lux 5035;3533;Włóczki super grube;10.78;14;10;0;
